,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year,month,day,day_of_week,hour
4668,1.4,1013,8.1,905,231,79,1499,974,18.3,65.5,1.3686,2004,9,21,2,6
4669,5.6,1515,31.4,1584,699,133,2288,1591,18.2,66.1,1.3679,2004,9,21,2,7
4670,7.3,1587,41.2,1795,738,148,2531,1820,19.6,60.7,1.3713,2004,9,21,2,8
4671,5.3,1490,27.3,1487,665,161,2115,1807,22.6,51.4,1.392,2004,9,21,2,9
4672,4.4,1435,24.2,1408,598,191,1991,1704,25.8,44.2,1.4512,2004,9,21,2,10
4673,3.1,1246,17.0,1209,340,158,1792,1270,28.5,39.0,1.4928,2004,9,21,2,11
4674,3.3,1266,17.7,1231,374,157,1768,1265,30.1,35.1,1.4782,2004,9,21,2,12
4675,3.8,1277,19.3,1277,401,188,1846,1226,29.4,36.4,1.4718,2004,9,21,2,13
4676,2.3,1142,12.7,1073,275,143,1635,987,29.2,37.9,1.5116,2004,9,21,2,14
4677,2.6,1207,14.6,1136,278,152,1696,1024,30.5,34.9,1.5015,2004,9,21,2,15
4678,3.2,1252,17.8,1233,342,168,1759,1127,31.5,31.4,1.431,2004,9,21,2,16
4682,4.4,1308,20.0,1297,428,173,1899,1454,24.8,49.0,1.5092,2004,9,21,2,20
4683,2.4,1137,11.9,1047,229,123,1620,1138,23.6,53.6,1.5374,2004,9,21,2,21
4684,1.5,1040,8.1,903,145,92,1494,951,23.0,55.8,1.548,2004,9,21,2,22
4685,1.3,1018,7.7,885,112,77,1491,864,22.1,58.4,1.5393,2004,9,21,2,23
4686,1.1,962,5.9,808,99,74,1430,868,22.6,56.3,1.5233,2004,9,22,3,0
4687,1.0,930,5.1,768,98,74,1409,825,21.0,61.3,1.5031,2004,9,22,3,1
4688,0.6,812,2.4,613,54,47,1302,626,23.0,54.0,1.501,2004,9,22,3,2
4689,0.5,826,2.4,612,141,96,1304,605,19.8,65.3,1.4894,2004,9,22,3,3
4690,0.6,878,3.8,702,59,44,1373,822,18.3,70.8,1.4794,2004,9,22,3,4
4691,0.8,922,5.0,764,162,69,1415,905,18.1,72.5,1.4876,2004,9,22,3,5
4692,1.5,1047,9.7,965,268,79,1606,1075,18.3,71.0,1.4807,2004,9,22,3,6
4693,4.1,1376,25.9,1452,531,108,2123,1541,18.5,68.9,1.4565,2004,9,22,3,7
4695,5.5,1494,29.0,1528,701,165,2201,1798,23.5,52.0,1.4833,2004,9,22,3,9
4696,3.7,1316,20.0,1298,510,172,1888,1584,26.8,42.7,1.4864,2004,9,22,3,10
4697,3.3,1269,18.3,1247,415,180,1813,1441,29.1,36.7,1.4543,2004,9,22,3,11
4698,2.5,1152,13.4,1099,243,130,1631,1093,30.8,32.0,1.4014,2004,9,22,3,12
4699,2.6,1138,14.0,1117,267,120,1646,1019,27.9,37.0,1.372,2004,9,22,3,13
4700,2.2,1132,12.1,1052,233,117,1609,944,28.5,37.3,1.4291,2004,9,22,3,14
4701,2.6,1186,15.3,1159,295,141,1701,1046,30.2,32.9,1.3865,2004,9,22,3,15
4702,2.9,1228,16.1,1184,309,151,1724,1089,32.9,27.7,1.3622,2004,9,22,3,16
4705,5.2,1387,26.7,1473,460,194,2065,1510,26.7,43.3,1.4881,2004,9,22,3,19
4706,3.8,1284,18.3,1249,363,167,1842,1300,24.6,54.0,1.6461,2004,9,22,3,20
4707,2.2,1110,11.9,1045,213,115,1638,1058,23.4,59.9,1.6992,2004,9,22,3,21
4708,2.1,1110,11.5,1032,183,98,1650,1002,22.5,62.6,1.6883,2004,9,22,3,22
4709,1.8,1077,9.6,964,163,93,1571,923,22.9,62.0,1.7127,2004,9,22,3,23
4710,1.6,1037,8.0,898,152,87,1539,836,22.2,64.9,1.719,2004,9,23,4,0
4711,1.4,1002,6.9,854,104,71,1513,779,21.4,68.5,1.7261,2004,9,23,4,1
4712,0.8,865,3.7,694,61,49,1385,678,22.2,63.0,1.6673,2004,9,23,4,2
4713,0.5,824,2.4,615,141,96,1336,601,22.4,59.9,1.6069,2004,9,23,4,3
4714,1.5,824,2.2,602,54,44,1337,593,21.1,63.8,1.5817,2004,9,23,4,4
4715,0.5,847,2.5,620,84,58,1339,670,22.9,57.5,1.5879,2004,9,23,4,5
4716,0.9,961,6.3,828,132,66,1491,837,21.3,63.2,1.5794,2004,9,23,4,6
4717,3.2,1336,21.6,1340,422,112,2049,1400,21.3,63.5,1.5941,2004,9,23,4,7
4718,2.8,1251,18.8,1264,282,104,1897,1393,23.7,54.4,1.5765,2004,9,23,4,8
4719,2.7,1290,18.1,1244,293,103,1853,1415,25.0,50.8,1.5903,2004,9,23,4,9
4720,2.4,1215,14.8,1141,334,118,1766,1285,26.3,48.1,1.6199,2004,9,23,4,10
4721,2.7,1248,15.9,1177,324,129,1784,1230,26.4,47.3,1.6006,2004,9,23,4,11
4722,2.8,1233,16.1,1184,294,127,1775,1147,29.3,39.5,1.5855,2004,9,23,4,12
4723,2.9,1229,17.2,1217,273,130,1795,1107,29.0,39.6,1.5581,2004,9,23,4,13
4724,2.6,1206,15.8,1175,275,130,1746,1068,29.8,38.0,1.5642,2004,9,23,4,14
4725,2.6,1215,15.1,1150,282,118,1733,1115,30.4,37.2,1.588,2004,9,23,4,15
4726,3.2,1330,18.9,1264,323,146,1860,1362,31.5,34.9,1.5903,2004,9,23,4,16
4727,4.6,1446,25.2,1434,442,190,2075,1619,31.6,34.8,1.5925,2004,9,23,4,17
4728,4.9,1446,26.1,1458,431,189,2059,1572,29.0,40.5,1.5949,2004,9,23,4,18
4729,4.7,1421,25.6,1444,402,173,2056,1446,27.2,45.9,1.6302,2004,9,23,4,19
4730,3.3,1247,16.9,1206,313,148,1785,1233,26.2,48.7,1.6256,2004,9,23,4,20
4731,2.3,1168,12.6,1070,228,116,1646,1102,25.1,50.5,1.584,2004,9,23,4,21
4732,2.1,1111,10.3,991,218,109,1559,1028,24.1,50.7,1.4959,2004,9,23,4,22
4733,1.7,1071,8.9,934,179,94,1504,942,22.5,53.7,1.4486,2004,9,23,4,23
4734,1.0,969,6.5,835,97,64,1437,773,22.7,53.7,1.458,2004,9,24,5,0
4735,0.9,942,5.3,780,83,59,1419,737,21.5,57.9,1.4658,2004,9,24,5,1
4736,0.7,923,4.6,744,80,64,1394,815,22.3,55.8,1.4828,2004,9,24,5,2
4737,0.4,813,2.0,581,141,96,1320,627,22.7,53.8,1.4673,2004,9,24,5,3
4738,0.4,851,2.5,618,66,52,1351,642,21.1,59.9,1.4789,2004,9,24,5,4
4739,0.5,868,2.8,639,109,55,1367,610,20.4,63.0,1.4946,2004,9,24,5,5
4740,1.3,1062,8.4,915,232,83,1579,929,20.8,62.2,1.5119,2004,9,24,5,6
4741,3.5,1418,21.1,1328,535,114,2017,1427,21.3,61.6,1.5452,2004,9,24,5,7
4742,5.5,1600,34.0,1641,684,137,2430,1776,21.9,60.2,1.56,2004,9,24,5,8
4743,5.6,1583,29.4,1538,803,160,2214,1788,23.0,56.4,1.5614,2004,9,24,5,9
4744,3.4,1338,20.3,1305,539,138,1929,1521,25.1,49.5,1.5572,2004,9,24,5,10
4745,3.2,1285,18.4,1252,364,134,1866,1293,26.6,44.3,1.5229,2004,9,24,5,11
4746,3.7,1376,22.3,1359,422,143,1998,1435,26.2,46.0,1.5422,2004,9,24,5,12
4747,4.6,1467,26.9,1477,483,153,2114,1592,25.4,48.7,1.5594,2004,9,24,5,13
4748,4.2,1442,24.0,1403,496,145,2026,1551,25.6,48.3,1.558,2004,9,24,5,14
4749,3.3,1358,19.3,1277,403,123,1892,1429,25.7,47.8,1.5548,2004,9,24,5,15
4750,2.7,1222,14.5,1133,282,96,1698,1195,24.9,49.2,1.5251,2004,9,24,5,16
4751,2.2,1134,11.1,1017,268,107,1632,981,18.3,75.4,1.5682,2004,9,24,5,17
4752,2.8,1120,10.4,993,306,119,1565,962,16.3,73.9,1.3601,2004,9,24,5,18
4753,2.9,1103,10.5,997,293,109,1552,914,15.6,75.7,1.3345,2004,9,24,5,19
4754,2.0,985,5.8,805,240,107,1390,785,15.4,76.6,1.3334,2004,9,24,5,20
4755,0.7,795,2.2,596,93,57,1188,482,14.0,75.4,1.1988,2004,9,24,5,21
4756,0.6,787,2.0,584,99,60,1129,446,14.9,60.5,1.0213,2004,9,24,5,22
4757,1.2,839,3.8,701,55,22,1156,553,15.5,50.9,0.888,2004,9,24,5,23
4758,1.2,835,3.9,705,19,2,1161,592,15.6,50.0,0.8773,2004,9,25,6,0
4759,1.1,837,3.7,693,26,7,1178,584,15.4,53.6,0.9326,2004,9,25,6,1
4760,0.6,761,1.7,563,26,8,1106,451,15.4,53.9,0.9334,2004,9,25,6,2
4761,0.3,718,1.0,499,141,96,1059,382,15.3,52.4,0.9017,2004,9,25,6,3
4762,0.3,724,1.0,495,42,27,1071,391,15.3,53.1,0.9181,2004,9,25,6,4
4763,0.3,718,0.9,486,32,14,1072,398,15.4,53.7,0.9295,2004,9,25,6,5
4764,0.4,744,1.3,525,25,3,1097,430,15.5,53.3,0.9308,2004,9,25,6,6
4765,0.6,782,2.1,591,28,9,1130,461,15.4,52.7,0.9178,2004,9,25,6,7
4766,0.7,798,2.5,619,41,14,1138,500,15.7,51.1,0.9056,2004,9,25,6,8
4767,1.0,867,4.6,744,130,52,1207,594,16.9,47.7,0.9142,2004,9,25,6,9
4768,1.1,862,4.3,729,173,64,1171,603,18.2,41.9,0.8674,2004,9,25,6,10
4769,1.5,915,6.5,834,168,66,1243,686,19.1,37.0,0.8104,2004,9,25,6,11
4770,1.4,857,6.0,813,51,14,1183,622,19.3,34.8,0.771,2004,9,25,6,12
4771,1.4,837,6.0,812,31,9,1171,624,19.8,31.2,0.7127,2004,9,25,6,13
4772,1.0,805,4.5,740,41,12,1117,565,19.8,31.1,0.7104,2004,9,25,6,14
4773,0.9,781,3.9,705,41,14,1068,514,20.2,28.6,0.6717,2004,9,25,6,15
4774,1.1,815,4.6,743,54,21,1095,536,22.1,24.8,0.6514,2004,9,25,6,16
4775,1.3,877,6.7,844,112,43,1193,669,21.1,27.7,0.6853,2004,9,25,6,17
4776,1.8,926,8.9,935,178,62,1262,786,20.1,30.3,0.7045,2004,9,25,6,18
4777,2.4,987,9.8,971,218,68,1312,891,19.5,33.0,0.7384,2004,9,25,6,19
4778,2.7,1004,10.8,1007,241,81,1321,926,19.3,32.3,0.7163,2004,9,25,6,20
4779,1.7,897,7.4,875,223,88,1227,902,18.4,33.2,0.6975,2004,9,25,6,21
4780,2.2,1002,10.3,989,279,99,1358,1011,17.8,36.5,0.7366,2004,9,25,6,22
4781,2.8,1126,13.8,1111,330,98,1473,1249,17.8,39.9,0.8035,2004,9,25,6,23
4782,2.4,1067,10.9,1013,330,97,1350,1133,17.0,43.0,0.8242,2004,9,26,7,0
4783,2.5,1063,11.7,1040,341,101,1413,1166,15.5,52.2,0.9136,2004,9,26,7,1
4784,1.4,915,7.8,893,205,90,1287,953,15.6,51.9,0.9135,2004,9,26,7,2
4785,1.4,906,7.7,885,141,96,1304,912,13.5,59.4,0.9176,2004,9,26,7,3
4786,1.5,844,5.5,786,130,61,1226,831,13.4,59.9,0.9173,2004,9,26,7,4
4787,0.9,816,4.5,739,102,55,1188,793,12.5,63.2,0.9146,2004,9,26,7,5
4788,0.6,768,3.3,671,79,46,1153,700,13.6,57.6,0.8941,2004,9,26,7,6
4789,1.0,835,5.4,785,148,56,1224,780,12.2,63.2,0.8964,2004,9,26,7,7
4790,1.6,944,8.2,908,261,83,1321,931,14.6,56.4,0.9319,2004,9,26,7,8
4791,0.9,810,3.0,651,107,55,1117,575,19.8,38.6,0.8831,2004,9,26,7,9
4792,0.9,819,3.0,655,103,47,1104,507,21.6,33.4,0.8519,2004,9,26,7,10
4793,1.0,844,3.5,680,122,61,1129,518,22.0,32.2,0.8407,2004,9,26,7,11
4794,1.0,846,3.6,688,127,58,1138,518,22.7,30.2,0.8217,2004,9,26,7,12
4795,0.9,842,4.0,711,110,59,1160,516,22.3,30.4,0.8063,2004,9,26,7,13
4796,0.9,840,4.2,722,98,54,1169,507,22.1,30.5,0.7981,2004,9,26,7,14
4797,0.9,815,3.1,657,146,69,1098,490,22.1,29.5,0.7761,2004,9,26,7,15
4798,0.9,838,3.5,685,119,54,1121,465,23.4,27.1,0.7681,2004,9,26,7,16
4799,2.7,992,10.3,987,234,95,1327,781,23.1,27.0,0.7538,2004,9,26,7,17
4800,2.2,990,7.8,891,261,99,1278,765,21.5,31.4,0.7943,2004,9,26,7,18
4801,3.3,1066,10.7,1004,371,127,1384,1006,20.3,35.5,0.833,2004,9,26,7,19
4802,2.1,971,7.3,870,266,98,1287,798,19.6,36.3,0.8193,2004,9,26,7,20
4803,1.8,963,7.7,887,268,112,1311,938,18.7,39.7,0.8482,2004,9,26,7,21
4804,1.9,1010,8.6,925,294,115,1351,996,18.0,42.7,0.8745,2004,9,26,7,22
4805,2.3,1054,10.0,978,303,114,1398,1109,17.1,47.6,0.9208,2004,9,26,7,23
4806,1.9,998,8.5,920,241,103,1365,1042,16.6,51.3,0.9634,2004,9,27,1,0
4807,1.3,919,5.8,802,142,81,1265,940,15.9,55.2,0.9881,2004,9,27,1,1
4808,1.0,884,5.0,764,110,75,1247,900,14.9,58.9,0.9891,2004,9,27,1,2
4809,0.6,803,2.9,648,141,96,1178,774,14.1,61.0,0.9799,2004,9,27,1,3
4810,0.6,820,3.4,674,104,64,1188,790,14.0,62.6,0.9948,2004,9,27,1,4
4811,0.9,894,5.6,794,179,71,1266,908,14.1,61.7,0.9844,2004,9,27,1,5
4812,1.5,988,9.0,941,361,99,1399,1035,14.4,60.3,0.9802,2004,9,27,1,6
4813,5.5,1372,26.9,1477,799,132,1973,1556,15.0,57.7,0.9778,2004,9,27,1,7
4814,4.0,1209,18.8,1262,614,135,1708,1392,16.9,50.3,0.958,2004,9,27,1,8
4815,1.8,951,8.2,908,275,94,1314,904,19.7,40.2,0.9108,2004,9,27,1,9
4816,1.9,992,9.1,943,325,103,1351,936,22.2,33.6,0.8886,2004,9,27,1,10
4817,1.7,964,9.2,947,327,123,1328,907,23.7,29.6,0.8537,2004,9,27,1,11
4818,1.6,917,8.3,910,252,95,1275,744,21.9,30.7,0.7961,2004,9,27,1,12
4819,1.9,937,9.1,942,226,90,1276,773,22.3,29.5,0.7838,2004,9,27,1,13
4820,1.6,961,9.2,949,230,99,1306,812,23.8,27.0,0.7845,2004,9,27,1,14
4821,1.8,969,9.6,962,244,107,1316,856,23.3,28.3,0.8012,2004,9,27,1,15
4822,2.0,1020,11.8,1042,251,112,1401,927,24.2,27.2,0.8128,2004,9,27,1,16
4823,3.1,1107,17.3,1219,346,132,1582,1131,25.1,25.8,0.8065,2004,9,27,1,17
4824,3.9,1119,17.8,1233,407,148,1539,1270,22.3,29.2,0.7773,2004,9,27,1,18
4825,4.3,1173,20.9,1322,490,158,1679,1365,20.8,32.5,0.7873,2004,9,27,1,19
4826,3.5,1097,14.9,1144,434,145,1517,1274,19.1,36.8,0.8066,2004,9,27,1,20
4827,2.4,1018,11.3,1024,345,128,1400,1169,18.1,39.9,0.8232,2004,9,27,1,21
4828,1.5,932,8.4,914,192,105,1298,1000,17.4,42.8,0.8463,2004,9,27,1,22
4829,1.3,897,6.8,849,157,90,1253,910,16.7,46.6,0.8793,2004,9,27,1,23
4830,1.0,840,4.9,758,148,85,1189,829,17.1,46.8,0.9054,2004,9,28,2,0
4831,0.8,802,3.5,680,105,73,1137,756,15.3,51.9,0.8982,2004,9,28,2,1
4832,0.5,765,2.8,637,141,74,1113,742,15.0,52.8,0.8929,2004,9,28,2,2
4833,0.4,741,2.1,595,141,96,1080,686,14.4,54.5,0.8887,2004,9,28,2,3
4834,0.5,748,2.2,595,107,61,1089,677,12.8,59.8,0.8801,2004,9,28,2,4
4835,0.7,791,3.9,704,166,69,1154,748,11.9,62.7,0.8726,2004,9,28,2,5
4836,1.2,875,7.3,871,241,82,1253,890,12.1,62.6,0.8825,2004,9,28,2,6
4837,2.4,1085,15.5,1164,368,120,1503,1155,13.5,58.2,0.8944,2004,9,28,2,7
4838,4.3,1268,27.1,1482,498,135,1849,1533,14.4,55.7,0.9087,2004,9,28,2,8
4839,4.1,1236,21.3,1332,641,152,1683,1550,17.8,45.7,0.9224,2004,9,28,2,9
4840,3.7,1274,19.9,1294,667,177,1595,2236,21.0,37.2,0.9155,2004,9,28,2,10
4841,3.4,1250,19.4,1280,550,181,1663,2178,24.5,29.8,0.9008,2004,9,28,2,11
4842,3.8,1224,21.8,1347,483,176,1670,1901,26.4,26.4,0.8969,2004,9,28,2,12
4843,4.1,1220,21.7,1344,524,163,1676,1743,25.2,26.8,0.8451,2004,9,28,2,13
4844,3.4,1166,18.9,1265,481,174,1570,1502,26.1,24.8,0.8283,2004,9,28,2,14
4845,2.3,1050,13.0,1084,305,117,1402,1153,26.2,24.4,0.8174,2004,9,28,2,15
4846,3.2,1174,18.8,1264,396,145,1598,1287,28.9,21.3,0.8382,2004,9,28,2,16
4847,4.8,1323,26.8,1474,501,173,1854,1547,28.0,23.3,0.8681,2004,9,28,2,17
4850,4.5,1309,23.1,1379,524,175,1841,1693,20.9,45.8,1.1159,2004,9,28,2,20
4851,2.1,1089,11.6,1037,247,129,1480,1336,19.8,48.6,1.113,2004,9,28,2,21
4852,1.5,1009,8.3,911,196,111,1359,1177,19.8,47.7,1.0885,2004,9,28,2,22
4853,1.1,930,5.7,796,135,85,1263,977,18.6,49.1,1.0435,2004,9,28,2,23
4854,1.1,929,5.9,805,146,86,1270,974,17.2,53.9,1.0498,2004,9,29,3,0
4855,0.9,872,4.1,718,106,71,1223,872,16.3,56.8,1.047,2004,9,29,3,1
4856,0.5,790,2.2,601,70,60,1157,734,17.4,53.4,1.0541,2004,9,29,3,2
4857,0.4,793,2.0,581,141,96,1152,668,15.5,58.8,1.0309,2004,9,29,3,3
4858,1.5,789,2.2,596,62,48,1161,698,14.6,62.1,1.0236,2004,9,29,3,4
4859,0.4,769,2.0,586,60,45,1134,650,17.1,52.5,1.013,2004,9,29,3,5
4860,0.7,852,4.0,713,92,53,1203,749,15.2,58.3,0.9986,2004,9,29,3,6
4861,2.0,1100,13.4,1097,277,94,1516,1106,14.9,59.2,0.9985,2004,9,29,3,7
4862,4.2,1326,28.0,1504,600,122,1968,1609,15.1,59.0,1.0086,2004,9,29,3,8
4863,5.2,1433,28.6,1518,693,170,1973,1770,19.0,47.8,1.0434,2004,9,29,3,9
4864,3.8,1310,21.4,1334,617,174,1747,1633,22.4,38.8,1.04,2004,9,29,3,10
4865,3.7,1304,19.1,1272,569,191,1673,1583,25.4,33.3,1.0679,2004,9,29,3,11
4866,3.4,1286,19.6,1286,409,179,1728,1449,27.2,30.4,1.081,2004,9,29,3,12
4867,3.1,1217,15.8,1175,335,148,1644,1451,25.5,34.8,1.1152,2004,9,29,3,13
4868,2.4,1104,13.5,1099,290,129,1483,1147,26.4,28.5,0.9658,2004,9,29,3,14
4869,2.8,1143,15.9,1176,312,148,1551,1108,27.7,25.1,0.9158,2004,9,29,3,15
4870,3.6,1205,19.9,1295,440,184,1613,1267,28.6,23.2,0.8917,2004,9,29,3,16
4871,4.0,1276,21.6,1340,450,188,1677,1303,27.2,26.3,0.9317,2004,9,29,3,17
4874,4.7,1339,22.8,1373,536,165,1797,1585,21.6,43.3,1.1019,2004,9,29,3,20
4875,1.9,1108,12.3,1061,238,133,1454,1315,21.1,44.8,1.1088,2004,9,29,3,21
4876,1.9,1116,10.9,1012,249,125,1445,1290,19.7,49.3,1.1148,2004,9,29,3,22
4877,1.2,981,7.1,860,150,101,1298,1059,20.3,47.8,1.1281,2004,9,29,3,23
4878,0.9,947,5.7,798,108,79,1276,943,19.4,50.3,1.1201,2004,9,30,4,0
4879,1.5,939,5.3,776,141,96,1259,913,18.3,53.1,1.1056,2004,9,30,4,1
4880,1.5,862,2.9,644,141,96,1173,720,17.5,56.1,1.1103,2004,9,30,4,2
4881,1.5,827,1.9,577,141,96,1143,640,19.2,50.3,1.1087,2004,9,30,4,3
4882,1.5,879,2.4,611,141,96,1189,779,16.6,59.6,1.117,2004,9,30,4,4
4883,1.5,911,4.0,710,141,96,1226,850,17.5,57.1,1.1311,2004,9,30,4,5
4884,1.5,1051,8.1,901,141,96,1379,1020,17.6,57.6,1.1471,2004,9,30,4,6
4885,1.5,1496,24.8,1425,141,96,1946,1605,18.0,57.0,1.1665,2004,9,30,4,7
4887,1.5,1428,20.9,1321,141,96,1779,1621,18.6,57.2,1.2146,2004,9,30,4,9
4888,1.5,1459,22.2,1356,141,96,1795,1712,20.2,53.0,1.2407,2004,9,30,4,10
4889,1.5,1486,23.5,1390,141,96,1835,1770,21.3,50.1,1.2539,2004,9,30,4,11
4890,1.7,1158,10.8,1008,141,96,1489,1175,24.6,42.8,1.3053,2004,9,30,4,12
4891,1.7,1200,11.2,1021,223,101,1510,1157,24.6,44.1,1.3477,2004,9,30,4,13
4892,2.2,1290,15.1,1151,267,113,1638,1219,25.6,43.4,1.4049,2004,9,30,4,14
4893,2.8,1366,17.4,1223,308,121,1744,1288,26.1,42.6,1.4172,2004,9,30,4,15
4894,3.9,1505,23.4,1388,422,146,1978,1503,25.8,44.8,1.4644,2004,9,30,4,16
4895,6.5,1728,35.9,1683,623,188,2365,1861,25.4,47.9,1.5346,2004,9,30,4,17
4896,6.3,1673,34.0,1643,572,182,2259,1781,24.6,50.0,1.5241,2004,9,30,4,18
4897,5.7,1636,30.1,1553,514,166,2130,1745,23.6,54.4,1.5687,2004,9,30,4,19
4898,4.4,1468,20.0,1296,414,142,1854,1590,22.6,59.5,1.6155,2004,9,30,4,20
4899,1.6,1180,10.5,997,143,84,1549,1127,22.1,61.3,1.6133,2004,9,30,4,21
4900,1.5,1138,9.0,938,147,87,1500,1098,22.1,61.3,1.6053,2004,9,30,4,22
4901,1.7,1192,10.7,1004,159,91,1577,1176,21.1,64.7,1.5956,2004,9,30,4,23
4902,1.9,1176,10.4,993,206,91,1572,1178,20.3,66.4,1.5591,2004,10,1,5,0
4903,1.6,1137,9.7,967,140,74,1557,1091,19.4,69.3,1.5418,2004,10,1,5,1
4904,1.3,1035,6.9,851,132,69,1465,1002,19.0,70.8,1.5417,2004,10,1,5,2
4905,0.8,943,4.0,709,141,96,1348,876,20.2,65.8,1.5442,2004,10,1,5,3
4906,0.6,904,3.0,655,81,54,1326,824,19.8,67.2,1.5322,2004,10,1,5,4
4907,0.7,966,4.3,726,120,60,1371,892,19.0,70.3,1.5308,2004,10,1,5,5
4908,1.6,1124,9.8,972,279,69,1568,1092,18.8,71.8,1.5372,2004,10,1,5,6
4909,2.9,1348,17.2,1217,392,91,1816,1413,20.2,66.3,1.555,2004,10,1,5,7
4910,4.1,1499,27.9,1501,433,97,2130,1565,20.8,64.3,1.563,2004,10,1,5,8
4911,3.7,1427,20.5,1311,531,114,1900,1594,22.3,59.3,1.5705,2004,10,1,5,9
4912,3.6,1473,21.2,1330,619,129,1908,1677,23.2,56.6,1.5929,2004,10,1,5,10
4913,3.4,1440,19.9,1294,522,137,1879,1616,23.8,54.7,1.587,2004,10,1,5,11
4914,3.7,1474,21.1,1326,505,134,1943,1610,23.5,56.2,1.6048,2004,10,1,5,12
4915,4.1,1485,22.3,1359,465,132,2005,1614,23.9,54.4,1.5963,2004,10,1,5,13
4916,3.2,1053,7.9,895,383,123,1446,942,17.2,48.6,0.9768,2004,10,1,5,14
4917,2.4,1306,12.9,1079,278,105,1668,1286,25.4,47.4,1.517,2004,10,1,5,15
4918,3.4,1464,18.4,1251,372,136,1853,1487,26.4,45.4,1.54,2004,10,1,5,16
4919,5.6,1629,26.5,1466,540,169,2130,1703,25.8,46.9,1.5375,2004,10,1,5,17
4922,1.5,1424,19.9,1293,141,96,1902,1550,22.8,58.1,1.5951,2004,10,1,5,20
4923,1.5,1297,13.5,1100,141,96,1710,1350,21.5,63.2,1.5993,2004,10,1,5,21
4924,1.5,1214,11.2,1022,141,96,1592,1235,21.3,63.0,1.5798,2004,10,1,5,22
4925,1.5,1160,9.1,944,141,96,1523,1162,20.8,64.1,1.554,2004,10,1,5,23
4926,1.5,1232,10.9,1012,141,96,1595,1211,20.6,64.0,1.5346,2004,10,2,6,0
4927,1.5,1134,8.4,914,141,96,1512,1097,20.6,63.4,1.519,2004,10,2,6,1
4928,1.5,1071,7.1,860,141,96,1500,1021,20.4,64.4,1.522,2004,10,2,6,2
4929,1.5,968,4.3,730,141,96,1388,913,21.3,61.0,1.529,2004,10,2,6,3
4930,1.5,994,4.0,711,141,96,1384,909,20.5,64.0,1.5247,2004,10,2,6,4
4931,1.5,1046,5.8,804,141,96,1458,983,20.3,65.3,1.5321,2004,10,2,6,5
4932,1.5,1066,6.3,827,141,96,1479,1024,20.1,65.9,1.5321,2004,10,2,6,6
4933,1.5,1277,12.3,1061,141,96,1691,1243,20.2,65.6,1.5368,2004,10,2,6,7
4934,1.5,1290,13.3,1093,141,96,1677,1253,21.1,62.8,1.5481,2004,10,2,6,8
4935,1.5,1268,12.5,1066,141,96,1665,1240,22.5,57.5,1.5518,2004,10,2,6,9
4936,1.5,1243,10.5,997,141,96,1587,1155,24.2,51.9,1.5426,2004,10,2,6,10
4937,1.5,1300,12.1,1053,141,96,1650,1193,25.2,48.9,1.5437,2004,10,2,6,11
4938,1.5,1278,12.1,1053,141,96,1641,1153,25.8,47.8,1.5662,2004,10,2,6,12
4939,1.5,1249,11.2,1023,141,96,1640,1034,25.7,49.2,1.5988,2004,10,2,6,13
4940,1.5,1145,7.2,867,141,96,1499,870,25.8,49.6,1.6213,2004,10,2,6,14
4941,1.5,1199,8.7,928,141,96,1533,890,25.7,48.8,1.5913,2004,10,2,6,15
4942,1.5,1236,9.6,962,141,96,1589,946,26.5,45.9,1.5626,2004,10,2,6,16
4943,1.5,1289,11.6,1037,141,96,1648,1033,25.4,48.9,1.565,2004,10,2,6,17
4944,1.5,1299,12.7,1072,141,96,1688,1107,24.4,52.5,1.583,2004,10,2,6,18
4945,1.5,1506,20.7,1315,141,96,1954,1395,23.9,54.6,1.5936,2004,10,2,6,19
4946,1.5,1432,17.8,1234,141,96,1849,1342,22.9,57.9,1.5958,2004,10,2,6,20
4947,1.5,1193,11.2,1021,141,96,1633,1152,22.1,61.1,1.6012,2004,10,2,6,21
4948,1.5,1188,10.8,1007,141,96,1577,1128,20.8,65.6,1.5898,2004,10,2,6,22
4949,1.5,1162,9.4,953,141,96,1526,1104,21.7,60.8,1.563,2004,10,2,6,23
4950,1.5,1106,8.5,921,141,96,1506,1055,21.1,62.8,1.5505,2004,10,3,7,0
4951,1.5,1037,6.5,836,141,96,1467,904,20.7,63.2,1.524,2004,10,3,7,1
4952,1.5,982,5.1,768,141,96,1416,835,21.2,61.5,1.5241,2004,10,3,7,2
4953,1.5,944,4.5,740,141,96,1412,781,20.3,64.6,1.518,2004,10,3,7,3
4954,1.5,929,3.9,703,141,96,1391,761,20.2,64.4,1.5035,2004,10,3,7,4
4955,1.5,906,3.3,672,141,96,1377,742,20.1,65.3,1.5153,2004,10,3,7,5
4956,1.5,907,3.2,665,141,96,1370,779,19.9,66.0,1.5141,2004,10,3,7,6
4957,1.5,1013,5.4,781,141,96,1469,894,19.8,66.4,1.5145,2004,10,3,7,7
4958,1.5,1055,5.6,795,141,96,1476,927,20.4,64.1,1.5178,2004,10,3,7,8
4959,1.5,1138,7.5,880,141,96,1538,1034,21.6,60.8,1.5496,2004,10,3,7,9
4960,1.5,1250,10.7,1003,141,96,1638,1217,23.5,54.5,1.5553,2004,10,3,7,10
